id_medico,id_hospital,dia_semana,hr_inicio,hr_fim
1426741,84.105.937/0001-11,domingo,08:00:00,09:00:00
2656655,49.170.538/0001-33,quarta,09:00:00,10:00:00
2656655,60.951.748/0001-00,sabado,09:00:00,10:00:00
2656655,56.807.243/0001-90,terca,09:00:00,10:00:00
2656655,56.807.243/0001-90,sexta,14:00:00,15:00:00
2656655,56.807.243/0001-90,sabado,14:00:00,15:00:00
2656655,56.807.243/0001-90,terca,16:00:00,17:00:00
2656655,56.807.243/0001-90,quinta,10:00:00,11:00:00
6998779,40.392.758/0001-37,segunda,14:00:00,15:00:00
6998779,40.392.758/0001-37,quinta,10:00:00,11:00:00
7493815,58.143.920/0001-49,quarta,16:00:00,17:00:00
7493815,58.143.920/0001-49,quinta,15:00:00,16:00:00
7493815,58.143.920/0001-49,sexta,08:00:00,09:00:00
7493815,58.143.920/0001-49,domingo,11:00:00,12:00:00
7493815,58.143.920/0001-49,quinta,08:00:00,09:00:00
7493815,58.143.920/0001-49,quinta,14:00:00,15:00:00
7493815,58.143.920/0001-49,sexta,17:00:00,18:00:00
7493815,84.105.937/0001-11,domingo,14:00:00,15:00:00
7493815,17.936.582/0001-15,quarta,11:00:00,12:00:00
0052500,17.936.582/0001-15,sabado,08:00:00,09:00:00
0052500,17.936.582/0001-15,sexta,10:00:00,11:00:00
0052500,17.936.582/0001-15,quarta,08:00:00,09:00:00
0052500,17.936.582/0001-15,quinta,14:00:00,15:00:00
6566643,53.072.816/0001-97,domingo,14:00:00,15:00:00
6566643,53.072.816/0001-97,terca,09:00:00,10:00:00
6566643,60.951.748/0001-00,domingo,08:00:00,09:00:00
6566643,60.951.748/0001-00,sexta,11:00:00,12:00:00
6566643,60.951.748/0001-00,quarta,11:00:00,12:00:00
6566643,60.951.748/0001-00,quinta,11:00:00,12:00:00
6566643,60.951.748/0001-00,quarta,10:00:00,11:00:00
6566643,60.951.748/0001-00,sexta,11:00:00,12:00:00
6566643,58.143.920/0001-49,terca,16:00:00,17:00:00
6566643,58.143.920/0001-49,quinta,08:00:00,09:00:00
6566643,58.143.920/0001-49,terca,10:00:00,11:00:00
